cod_classe;desc_classe;grupo
01.11-3;Cultivo de cereais;01.1
01.12-1;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;01.1
01.13-0;Cultivo de cana-de-açúcar;01.1
01.14-8;Cultivo de fumo;01.1
01.15-6;Cultivo de soja;01.1
01.16-4;Cultivo de oleaginosas de lavoura temporária, exceto soja;01.1
01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;01.1
01.21-1;Horticultura;01.2
01.22-9;Cultivo de flores e plantas ornamentais;01.2
01.31-8;Cultivo de laranja;01.3
01.32-6;Cultivo de uva;01.3
01.33-4;Cultivo de frutas de lavoura permanente, exceto laranja e uva;01.3
01.34-2;Cultivo de café;01.3
01.35-1;Cultivo de cacau;01.3
01.39-3;Cultivo de plantas de lavoura permanente não especificadas anteriormente;01.3
01.41-5;Produção de sementes certificadas;01.4
01.42-3;Produção de mudas e outras formas de propagação vegetal, certificadas;01.4
01.51-2;Criação de bovinos;01.5
01.52-1;Criação de outros animais de grande porte;01.5
01.53-9;Criação de caprinos e ovinos;01.5
01.54-7;Criação de suínos;01.5
01.55-5;Criação de aves;01.5
01.59-8;Criação de animais não especificados anteriormente;01.5
01.61-0;Atividades de apoio à agricultura;01.6
01.62-8;Atividades de apoio à pecuária;01.6
01.63-6;Atividades de pós-colheita;01.6
01.70-9;Caça e serviços relacionados;01.7
02.10-1;Produção florestal - florestas plantadas;02.1
02.20-9;Produção florestal - florestas nativas;02.2
02.30-6;Atividades de apoio à produção florestal;02.3
03.11-6;Pesca em água salgada;03.1
03.12-4;Pesca em água doce;03.1
03.21-3;Aqüicultura em água salgada e salobra;03.2
03.22-1;Aqüicultura em água doce;03.2
05.00-3;Extração de carvão mineral;05.0
06.00-0;Extração de petróleo e gás natural;06.0
07.10-3;Extração de minério de ferro;07.1
07.21-9;Extração de minério de alumínio;07.2
07.22-7;Extração de minério de estanho;07.2
07.23-5;Extração de minério de manganês;07.2
07.24-3;Extração de minério de metais preciosos;07.2
07.25-1;Extração de minerais radioativos;07.2
07.29-4;Extração de minerais metálicos não-ferrosos não especificados anteriormente;07.2
08.10-0;Extração de pedra, areia e argila;08.1
08.91-6;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;08.9
08.92-4;Extração e refino de sal marinho e sal-gema;08.9
08.93-2;Extração de gemas (pedras preciosas e semipreciosas);08.9
08.99-1;Extração de minerais não-metálicos não especificados anteriormente;08.9
09.10-6;Atividades de apoio à extração de petróleo e gás natural;09.1
09.90-4;Atividades de apoio à extração de minerais, exceto petróleo e gás natural;09.9
10.11-2;Abate de reses, exceto suínos;10.1
10.12-1;Abate de suínos, aves e outros pequenos animais;10.1
10.13-9;Fabricação de produtos de carne;10.1
10.20-1;Preservação do pescado e fabricação de produtos do pescado;10.2
10.31-7;Fabricação de conservas de frutas;10.3
10.32-5;Fabricação de conservas de legumes e outros vegetais;10.3
10.33-3;Fabricação de sucos de frutas, hortaliças e legumes;10.3
10.41-4;Fabricação de óleos vegetais em bruto, exceto óleo de milho;10.4
10.42-2;Fabricação de óleos vegetais refinados, exceto óleo de milho;10.4
10.43-1;Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;10.4
10.51-1;Preparação do leite;10.5
10.52-0;Fabricação de laticínios;10.5
10.53-8;Fabricação de sorvetes e outros gelados comestíveis;10.5
10.61-9;Beneficiamento de arroz e fabricação de produtos do arroz;10.6
10.62-7;Moagem de trigo e fabricação de derivados;10.6
10.63-5;Fabricação de farinha de mandioca e derivados;10.6
10.64-3;Fabricação de farinha de milho e derivados, exceto óleos de milho;10.6
10.65-1;Fabricação de amidos e féculas de vegetais e de óleos de milho;10.6
10.66-0;Fabricação de alimentos para animais;10.6
10.69-4;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;10.6
10.71-6;Fabricação de açúcar em bruto;10.7
10.72-4;Fabricação de açúcar refinado;10.7
10.81-3;Torrefação e moagem de café;10.8
10.82-1;Fabricação de produtos à base de café;10.8
10.91-1;Fabricação de produtos de panificação;10.9
10.92-9;Fabricação de biscoitos e bolachas;10.9
10.93-7;Fabricação de produtos derivados do cacau, de chocolates e confeitos;10.9
10.94-5;Fabricação de massas alimentícias;10.9
10.95-3;Fabricação de especiarias, molhos, temperos e condimentos;10.9
10.96-1;Fabricação de alimentos e pratos prontos;10.9
10.99-6;Fabricação de produtos alimentícios não especificados anteriormente;10.9
11.11-9;Fabricação de aguardentes e outras bebidas destiladas;11.1
11.12-7;Fabricação de vinho;11.1
11.13-5;Fabricação de malte, cervejas e chopes;11.1
11.21-6;Fabricação de águas envasadas;11.2
11.22-4;Fabricação de refrigerantes e de outras bebidas não-alcoólicas;11.2
12.10-7;Processamento industrial do fumo;12.1
12.20-4;Fabricação de produtos do fumo;12.2
13.11-1;Preparação e fiação de fibras de algodão;13.1
13.12-0;Preparação e fiação de fibras têxteis naturais, exceto algodão;13.1
13.13-8;Fiação de fibras artificiais e sintéticas;13.1
41.20-4;Construção de edifícios;41.2
13.14-6;Fabricação de linhas para costurar e bordar;13.1
13.21-9;Tecelagem de fios de algodão;13.2
13.22-7;Tecelagem de fios de fibras têxteis naturais, exceto algodão;13.2
13.23-5;Tecelagem de fios de fibras artificiais e sintéticas;13.2
13.30-8;Fabricação de tecidos de malha;13.3
13.40-5;Acabamentos em fios, tecidos e artefatos têxteis;13.4
13.51-1;Fabricação de artefatos têxteis para uso doméstico;13.5
13.52-9;Fabricação de artefatos de tapeçaria;13.5
13.53-7;Fabricação de artefatos de cordoaria;13.5
13.54-5;Fabricação de tecidos especiais, inclusive artefatos;13.5
13.59-6;Fabricação de outros produtos têxteis não especificados anteriormente;13.5
14.11-8;Confecção de roupas íntimas;14.1
14.12-6;Confecção de peças do vestuário, exceto roupas íntimas;14.1
14.13-4;Confecção de roupas profissionais;14.1
14.14-2;Fabricação de acessórios do vestuário, exceto para segurança e proteção;14.1
14.21-5;Fabricação de meias;14.2
14.22-3;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;14.2
15.10-6;Curtimento e outras preparações de couro;15.1
15.21-1;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;15.2
15.29-7;Fabricação de artefatos de couro não especificados anteriormente;15.2
