cod_divisao;desc_divisao
10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
11;FABRICAÇÃO DE BEBIDAS
12;FABRICAÇÃO DE PRODUTOS DO FUMO
13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
14;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
15;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
16;FABRICAÇÃO DE PRODUTOS DE MADEIRA
17;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
18;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES
19;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS
20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
21;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS
22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO
23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS
24;METALURGIA
25;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS
26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
31;FABRICAÇÃO DE MÓVEIS
32;FABRICAÇÃO DE PRODUTOS DIVERSOS
33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
35;ELETRICIDADE, GÁS E OUTRAS UTILIDADES
36;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA
37;ESGOTO E ATIVIDADES RELACIONADAS
38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS"
39;DESCONTAMINAÇÃO E OUTROS SERVIÇOS DE GESTÃO DE RESÍDUOS
41;CONSTRUÇÃO DE EDIFÍCIOS
42;OBRAS DE INFRA-ESTRUTURA
43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
47;COMÉRCIO VAREJISTA
49;TRANSPORTE TERRESTRE
50;TRANSPORTE AQUAVIÁRIO
51;TRANSPORTE AÉREO
52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
53;CORREIO E OUTRAS ATIVIDADES DE ENTREGA
55;ALOJAMENTO
56;ALIMENTAÇÃO
58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
