cd_uf;nome_uf;sigla_uf;area_uf;numero_de_cars;area_rural
11;Rondônia            ;RO;237754.171;175987;57396.36
12;Acre                ;AC;164082.96;54296;22153.94
13;Amazonas            ;AM;1558706.127;94490;22523.23
14;Roraima             ;RR;223505.385;26696;19401.4
15;Pará                ;PA;1245828.829;348627;197948.61
16;Amapá               ;AP;142253.88;16216;12098.62
17;Tocantins           ;TO;277423.627;98130;122939.33
21;Maranhão            ;MA;329651.478;393071;84581.7
22;Piauí               ;PI;251755.499;322338;61570.11
23;Ceará               ;CE;148894.444;395495;35655.72
24;Rio Grande do Norte ;RN;52809.599;113063;17766.39
25;Paraíba             ;PB;56467.242;210467;19833.26
26;Pernambuco          ;PE;98067.879;423090;21496.64
27;Alagoas             ;AL;27830.661;138206;10856.78
28;Sergipe             ;SE;21938.188;118396;7803.46
29;Bahia               ;BA;564760.429;1238947;190117.16
31;Minas Gerais        ;MG;586513.984;1136188;281887.74
32;Espírito Santo      ;ES;46074.448;123952;21677.25
33;Rio de Janeiro      ;RJ;43750.425;66186;18528.38
35;São Paulo           ;SP;248219.485;441705;143577.61
41;Paraná              ;PR;199298.981;540877;111821.28
42;Santa Catarina      ;SC;95730.69;413935;39925.67
43;Rio Grande do Sul   ;RS;281707.151;655653;162080.95
50;Mato Grosso do Sul  ;MS;357142.01;85962;293542.92
51;Mato Grosso         ;MT;903208.362;194786;497917.46
52;Goiás               ;GO;340242.86;230348;226462.74
53;Distrito Federal    ;DF;5760.783;20189;2422.6
