sigla_uf;ano;menos_de_us_2_15_ppc_2017;menos_de_us_3_65_ppc_2017;menos_de_us_6_85_ppc_2017
MG;2020;3.40;7.30;24.30
RO;2022;4.30;10.80;29.60
RR;2019;12.50;25.60;49.70
PR;2023;2.20;5.30;17.30
RO;2021;8.10;15.90;39.20
DF;2023;1.90;4.40;15.40
MA;2022;15.00;28.00;56.70
PR;2020;3.90;6.60;20.10
DF;2022;1.80;5.70;17.10
SP;2021;4.40;8.50;23.70
GO;2020;3.30;8.00;26.00
RJ;2019;4.50;9.10;25.80
MA;2023;12.20;24.40;51.20
MT;2019;2.80;6.50;23.00
MA;2020;15.10;27.30;57.30
SP;2020;3.30;6.30;20.20
RO;2023;4.40;7.80;24.40
SP;2019;2.70;6.20;18.70
MS;2019;2.80;6.70;22.20
RR;2021;11.30;28.00;57.10
PI;2021;16.10;28.30;51.80
MG;2019;4.30;9.10;27.30
PA;2019;13.70;27.40;54.70
ES;2021;7.20;15.00;34.10
AP;2023;3.60;14.30;32.90
BA;2021;17.00;29.50;55.80
PI;2019;15.80;27.60;52.60
TO;2021;7.60;17.70;42.80
SC;2023;1.40;2.50;11.50
RS;2020;2.50;5.20;16.80
AC;2023;13.20;25.60;51.50
PE;2022;11.70;24.10;50.70
RO;2020;5.20;9.50;28.70
RS;2021;2.90;6.00;18.90
MT;2020;3.00;7.30;24.20
AC;2021;17.60;30.20;54.10
PI;2022;11.60;21.80;48.20
RO;2019;5.20;11.90;32.50
AM;2022;10.50;24.10;55.10
ES;2022;4.10;8.20;26.30
AP;2019;7.90;24.60;53.50
RJ;2021;7.60;13.00;30.50
PI;2020;9.90;19.50;46.60
PB;2020;9.80;19.40;49.20
AM;2020;13.20;26.90;51.60
AP;2020;10.50;20.70;49.10
CE;2020;9.90;20.70;47.50
RN;2019;12.00;24.20;47.10
RR;2023;7.20;15.70;35.50
RN;2020;6.30;16.10;41.60
CE;2019;13.50;25.10;51.00
SC;2021;2.40;5.00;14.80
SE;2023;8.10;18.50;44.10
SE;2019;14.00;27.80;52.50
DF;2019;1.80;4.80;18.00
CE;2023;9.40;21.30;48.70
PI;2023;8.10;20.00;45.30
SC;2020;2.00;3.80;13.30
AM;2021;16.20;32.70;58.40
MG;2021;5.30;12.00;31.30
DF;2021;4.30;8.60;21.00
ES;2020;4.40;8.90;26.20
RS;2022;2.50;4.80;16.80
AL;2022;13.10;24.50;54.20
AC;2022;14.00;25.00;51.00
ES;2023;2.70;6.70;22.80
PB;2023;7.40;19.00;47.40
PA;2020;8.30;18.90;46.30
TO;2022;4.90;12.30;34.00
RR;2022;7.80;19.80;45.10
BA;2019;14.50;26.30;50.60
RN;2022;9.40;18.10;44.20
BA;2023;8.80;19.70;46.00
PA;2023;5.70;15.10;39.20
PR;2022;2.90;6.40;20.00
AP;2021;11.80;33.50;57.00
GO;2022;2.70;6.50;22.70
SP;2022;2.90;5.90;19.60
TO;2023;4.20;11.20;28.60
SE;2020;8.40;17.20;43.90
BA;2022;11.90;23.50;50.50
RN;2023;6.30;17.80;43.50
SC;2019;1.70;3.10;11.90
TO;2020;5.90;15.20;38.20
RN;2021;14.90;27.50;50.90
MS;2022;2.70;6.20;21.30
PE;2020;12.40;24.20;49.20
PB;2019;14.30;27.30;51.90
PB;2021;16.70;30.70;56.20
BA;2020;10.30;20.50;46.60
MA;2019;22.50;36.50;62.10
ES;2019;3.90;9.70;27.70
AC;2020;10.40;22.60;48.40
CE;2021;16.00;28.50;54.60
MA;2021;22.60;38.70;65.60
AL;2023;8.80;19.80;46.20
MG;2022;3.20;8.80;27.00
MT;2022;4.10;7.40;22.10
AM;2019;16.80;30.70;56.40
RR;2020;10.40;21.40;48.50
MT;2021;3.50;8.60;28.60
PB;2022;11.10;22.90;52.70
SC;2022;1.80;3.20;12.80
PE;2021;19.40;32.20;59.70
MT;2023;2.60;5.30;17.20
AL;2020;12.20;24.00;53.70
DF;2020;2.90;5.70;17.90
MS;2023;2.00;5.00;19.30
GO;2023;1.30;3.80;18.40
AL;2021;16.40;30.60;60.30
RJ;2023;3.60;7.90;21.00
RJ;2022;4.50;9.80;26.60
AP;2022;7.90;20.50;47.80
PA;2021;15.30;28.60;55.10
RS;2019;2.50;5.00;15.90
TO;2019;8.90;19.40;43.70
RS;2023;1.30;4.40;14.40
MS;2021;4.00;10.60;29.80
MG;2023;2.20;5.60;19.80
PA;2022;7.50;19.40;47.00
PR;2021;3.90;8.20;23.40
AM;2023;6.60;18.80;45.50
CE;2022;10.90;22.90;50.70
SE;2021;14.90;28.20;55.70
RJ;2020;5.80;10.20;25.90
GO;2019;3.70;7.80;27.10
PE;2019;14.30;26.10;51.80
SE;2022;8.90;20.80;45.60
PR;2019;2.80;5.90;20.10
SP;2023;2.20;5.20;16.50
AC;2019;17.80;30.80;51.90
AL;2019;16.50;30.30;58.20
GO;2021;3.80;11.10;31.40
PE;2023;9.30;20.70;47.50
MS;2020;2.60;6.70;23.90
